순위,팀명,WAR
1,LG,28.96
2,KIA,26.74
3,NC,24.97
4,SSG,22.98
5,두산,20.65
6,KT,19.65
7,롯데,18.58
8,키움,18.08
9,삼성,17.32
10,한화,15.97
